DS1,DpA,DpB,T1,T4,deltaT,P,M01,VA,TS1,YuntA
1622.0,273.0,275.0,86.0,81.03,1.05,315.0,93.21,389.0,32.99,0.18
1650.0,201.0,228.0,86.0,81.62,0.791,318.48,90.38,406.0,33.05,0.17
1635.0,209.0,237.0,86.0,81.44,1.061,315.06,91.01,364.0,35.27,0.18
1637.0,223.0,262.0,85.0,81.23,0.812,314.05,91.89,367.0,33.22,0.18
1614.0,215.0,248.0,85.0,80.64,1.313,323.38,88.92,510.0,34.71,0.18
1617.0,228.0,238.0,87.0,81.43,0.528,319.37,88.7,431.0,35.16,0.17
1610.0,230.0,219.0,88.0,81.39,0.607,319.32,89.58,500.0,32.79,0.16
1613.0,205.0,228.0,88.0,81.55,0.548,322.35,88.86,463.0,34.46,0.16
1626.0,208.0,248.0,88.0,81.14,1.031,319.75,88.83,478.0,34.18,0.17
1638.0,204.0,241.0,88.0,81.5,0.846,319.33,91.14,476.0,33.74,0.19
1644.0,216.0,234.0,86.0,81.55,0.757,315.22,92.06,455.0,33.5,0.18
1645.0,229.0,226.0,87.0,81.41,0.843,318.11,90.8,433.0,33.95,0.17
1653.0,228.0,259.0,87.0,81.06,1.138,318.06,91.29,445.0,34.07,0.16
1635.0,208.0,223.0,87.0,80.6,2.162,323.34,87.81,476.0,35.66,0.16
1666.0,245.0,240.0,87.0,81.34,1.558,319.96,90.53,493.0,34.09,0.18
1644.0,251.0,236.0,87.0,80.87,1.203,319.85,86.85,492.0,34.04,0.18
1633.0,239.0,258.0,90.0,80.42,1.637,317.66,86.57,499.0,33.5,0.18
1654.0,181.0,168.0,86.0,81.14,1.205,326.74,85.32,505.0,33.47,0.18
1675.0,216.0,266.0,92.0,81.09,1.259,319.78,86.54,487.0,35.03,0.18
1642.0,253.0,272.0,86.0,81.18,1.394,319.51,87.68,438.0,34.03,0.17
1638.0,246.0,265.0,89.0,80.42,1.559,318.64,89.65,449.0,33.64,0.17
1616.0,256.0,270.0,88.0,80.19,1.592,319.99,89.57,428.0,34.69,0.17
1636.0,233.0,258.0,87.0,80.39,1.194,327.58,87.48,508.0,32.95,0.18
1637.0,234.0,245.0,85.0,79.88,1.101,330.3,84.86,635.0,33.59,0.18
1631.0,216.0,233.0,92.0,80.98,1.469,323.88,88.85,429.0,34.95,0.19
1615.0,219.0,261.0,89.0,80.83,1.401,319.75,87.7,451.0,33.72,0.18
1626.0,222.0,242.0,87.0,80.28,1.295,321.21,86.27,494.0,33.29,0.17
1625.0,224.0,246.0,90.0,80.69,1.544,324.26,85.77,484.0,35.17,0.17
1608.0,203.0,223.0,87.0,80.7,1.422,324.86,89.87,544.0,33.54,0.18
1634.0,211.0,143.0,86.0,81.04,1.106,329.34,86.81,531.0,35.0,0.17
1610.0,242.0,244.0,89.0,80.63,1.79,321.53,91.4,447.0,34.72,0.18
1613.0,226.0,254.0,89.0,80.58,1.547,325.01,87.93,490.0,33.77,0.18
1633.0,218.0,234.0,88.0,80.82,1.451,323.0,86.07,435.0,34.43,0.18
1645.0,232.0,154.0,88.0,80.84,1.386,322.42,87.14,555.0,34.63,0.19
1625.0,244.0,261.0,89.0,80.62,2.043,312.29,86.53,486.0,33.51,0.19
1640.0,208.0,240.0,88.0,81.3,1.527,317.38,89.93,396.0,34.49,0.18
1574.0,237.0,255.0,85.0,81.24,1.299,317.03,86.24,480.0,34.32,0.17
1627.0,275.0,276.0,87.0,81.17,1.238,311.64,90.09,377.0,33.57,0.18
1642.0,249.0,153.0,87.0,81.24,1.139,316.0,88.64,453.0,37.68,0.16
1605.0,264.0,274.0,89.0,81.02,1.462,314.41,89.31,466.0,35.26,0.18
1600.0,245.0,239.0,92.0,80.75,1.573,317.24,86.37,527.0,36.4,0.18
1648.0,248.0,275.0,87.0,81.56,1.337,313.8,88.88,424.0,36.03,0.17
1639.0,281.0,303.0,86.0,81.09,1.324,312.99,88.12,397.0,34.77,0.18
1626.0,261.0,280.0,87.0,81.06,1.513,313.44,88.28,473.0,34.3,0.17
1622.0,228.0,293.0,89.0,81.4,1.445,313.43,90.71,425.0,35.99,0.18
1633.0,277.0,281.0,87.0,80.92,1.244,314.46,89.56,392.0,35.35,0.18
1634.0,274.0,279.0,89.0,81.08,1.563,314.74,89.33,483.0,34.59,0.17
1647.0,261.0,274.0,87.0,80.87,1.426,319.07,87.82,439.0,35.58,0.16
1640.0,251.0,283.0,87.0,80.67,1.777,319.77,86.77,504.0,36.59,0.18
1642.0,264.0,281.0,86.0,80.7,1.77,317.68,88.47,435.0,34.71,0.17125
